sentence,label_name,label_ID,language
The Obama administration says it plans to bring in tens of thousands more immigrants this year than it did in 2016.,Economic,1.0,English
President Donald Trump's decision to end the Obama-era Deferred Action for Childhood Arrivals (DACA) policy has sparked debate in Washington.,Political,13.0,English
"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo reflects on the plight of refugees.",Morality,3.0,English
President Donald Trump's proposed border wall with Mexico could have far-reaching implications for the US economy.,Economic,1.0,English
"As part of our series of letters from African journalists, filmmaker and columnist Farai Sevenzo looks at some of the key stories of the week.",Political,13.0,English
The UK government has said it will not accept any more refugees from Syria.,Morality,3.0,English
Immigration has been a major issue in the US election.,Economic,1.0,English
Immigration has become a major issue in the US presidential election.,Political,13.0,English
The Trump administration's policy of separating children from their parents at the border is an outrage.,Morality,3.0,English
BBC News takes a look at the impact of immigration on the UK economy.,Economic,1.0,English
President Donald Trump's administration is considering a plan that would greatly increase the number of immigrants allowed into the US each year.,Economic,1.0,English
A country's immigration policy affects the quality and quantity of its people.,Capacity and Resources,2.0,English
Home Secretary Amber Rudd has defended the government's record on immigration.,Fairness and Equality,4.0,English
The United Nations General Assembly has adopted a resolution on the issue of immigration.,"Legality, Constitutionality, Jurisdiction",5.0,English
Immigration policies must reflect the interests of the United States and the interests of the world.,"Legality, Constitutionality, Jurisdiction",5.0,English
Immigration policies should be based on the needs of the country in which they are implemented.,Policy Prescription and Evaluation,6.0,English
The United States is a nation of immigrants.,Crime and Punishment,7.0,English
The United States is a nation of immigrants.,Security and Defense,8.0,English
The European Court of Human Rights (ECHR) has ruled that immigration policies must take into account the human and social costs of migration.,Health and Safety,9.0,English
Immigration is an issue that affects all of us.,Quality of Life,10.0,English
Immigration is one of the most important drivers of economic growth in many countries.,Cultural Identity,11.0,English
The UK government must ensure that its immigration policy reflects the needs of the country and its people.,Public Sentiment,12.0,English
The UK's immigration policy must take into account the needs of the country and its people.,External Regulation and Reputation,14.0,English
"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the issue of immigration.",Political,13.0,English
The United Nations Convention on the Rights of the Child requires that immigration policies should not discriminate on the basis of sexual orientation or gender identity.,Morality,3.0,English
BBC News takes a look at the economic impact of immigration on the UK economy.,Economic,1.0,English
Immigration has become a major issue in the US presidential election.,Capacity and Resources,2.0,English
The UK Border Agency (UKBA) is responsible for the management and control of immigration to and from the UK.,Fairness and Equality,4.0,English
The UK Border Agency is responsible for the control and management of immigration to and from the UK.,"Legality, Constitutionality, Jurisdiction",5.0,English
"Immigration policies must not discriminate on the basis of race, religion, or national origin.","Legality, Constitutionality, Jurisdiction",5.0,English
Immigration policies should be based on the needs of the country in which they are intended to be implemented.,Policy Prescription and Evaluation,6.0,English
Immigration is an issue that affects all of us.,Crime and Punishment,7.0,English
The United States is a nation of immigrants.,Security and Defense,8.0,English
The UK Border Agency must take into account the security and stability of the country when deciding who can come to the UK.,Health and Safety,9.0,English
